"Model 12: Logit, using observations 1-10000"
"Dependent variable: Exited"
"Standard errors based on Hessian"

,"coefficient","std. error","z","p-value"
"const",-3.91257592297338,0.23716425151556,-16.4973257899143,3.83504353006574e-061
"CreditScore",-0.000674866227631609,0.000280271862766979,-2.40789860590715,0.0160446364075935
"Age",0.0726550316600614,0.00257451042427687,28.2209118187854,3.23928627691738e-175
"NumOfProducts",-0.0950197664771848,0.0475373969717081,-1.99884243838037,0.0456254044116757
"IsActiveMember",-1.07577590682572,0.0576457564038099,-18.6618404187445,1.01185474132011e-077
"Female",0.526721361815753,0.0544590787447895,9.67187425780954,3.97039029843319e-022
"Germany",0.74759546691692,0.0650514533993521,11.4923714667437,1.44100929242534e-030
"Tenure",-0.0158790715367958,0.00934627318519372,-1.69897361463297,0.089324155206661
"Log_Balance",0.0690262574502682,0.013959172862057,4.94486730212297,7.61957491885106e-007

"Mean dependent var",0.203699999999999,"S.D. dependent var",0.40276858399485
"McFadden R-squared",0.152786827235692,"Adjusted R-squared",0.151006373510089
"Log-likelihood",-4282.57047359873,"Akaike criterion",8583.14094719746
"Schwarz criterion",8648.03401054525,"Hannan-Quinn",8605.10682971209

